,Well,Fluor,Target,Content,Sample,Cq,SQ
,C06,SYBR,nhr-58,Unkn,FAU5,30.3605025177804,NaN
,C07,SYBR,nhr-58,Unkn,N2 treated,30.668527795043,NaN
,C08,SYBR,nhr-58,Unkn,N2 treated,30.5429866313948,NaN
,C09,SYBR,nhr-58,Unkn,N2 treated,30.3960095663572,NaN
,C10,SYBR,nhr-58,Unkn,FAU5 treated,28.9290108431758,NaN
,C11,SYBR,nhr-58,Unkn,FAU5 treated,28.7663370298969,NaN
,C12,SYBR,nhr-58,Unkn,FAU5 treated,28.8521835767196,NaN
,D01,SYBR,ugt-31,Unkn,N2,34.6932285680936,NaN
,D02,SYBR,ugt-31,Unkn,N2,34.4665754211993,NaN
,D03,SYBR,ugt-31,Unkn,N2,34.3475422286764,NaN
,D04,SYBR,ugt-31,Unkn,FAU5,38.629996521218,NaN
,D05,SYBR,ugt-31,Unkn,FAU5,NaN,NaN
,D06,SYBR,ugt-31,Unkn,FAU5,40.7551431204147,NaN
,D07,SYBR,ugt-31,Unkn,N2 treated,32.1329748914206,NaN
,D08,SYBR,ugt-31,Unkn,N2 treated,31.5341396945209,NaN
,D09,SYBR,ugt-31,Unkn,N2 treated,31.4437153068515,NaN
,D10,SYBR,ugt-31,Unkn,FAU5 treated,29.1416474761186,NaN
,D11,SYBR,ugt-31,Unkn,FAU5 treated,29.1556373975651,NaN
,D12,SYBR,ugt-31,Unkn,FAU5 treated,29.0147422588386,NaN
,E01,SYBR,t22f3.3,Unkn,N2,34.037417660494,NaN
,E02,SYBR,t22f3.3,Unkn,N2,34.7311045088939,NaN
,E03,SYBR,t22f3.3,Unkn,N2,33.7368535799885,NaN
,E04,SYBR,t22f3.3,Unkn,FAU5,34.0794303426121,NaN
,E05,SYBR,t22f3.3,Unkn,FAU5,34.2178130363559,NaN
,E06,SYBR,t22f3.3,Unkn,FAU5,34.1405220045839,NaN
,E07,SYBR,t22f3.3,Unkn,N2 treated,35.3534534532034,NaN
,E08,SYBR,t22f3.3,Unkn,N2 treated,34.8389753989187,NaN
,E09,SYBR,t22f3.3,Unkn,N2 treated,34.773733094576,NaN
,E10,SYBR,t22f3.3,Unkn,FAU5 treated,33.9693681152514,NaN
,E11,SYBR,t22f3.3,Unkn,FAU5 treated,33.686967325753,NaN
,E12,SYBR,t22f3.3,Unkn,FAU5 treated,33.8021500433054,NaN
,G01,SYBR,tba-1,NRT,N2,NaN,NaN
,G02,SYBR,oac-7,NRT,N2,38.0666654825414,NaN
,G03,SYBR,nhr-58,NRT,N2,NaN,NaN
,G04,SYBR,ugt-31,NRT,N2,35.0438892143733,NaN
,G05,SYBR,t22f3.3,NRT,N2,NaN,NaN
,G07,SYBR,tba-1,NRT,N2 treated,29.1123576273253,NaN
,G08,SYBR,oac-7,NRT,N2 treated,29.0377525333385,NaN
,G09,SYBR,ceh-74,NRT,N2 treated,NaN,NaN
,G11,SYBR,ugt-31,NRT,N2 treated,39.1078639143936,NaN
,G12,SYBR,t22f3.3,NRT,N2 treated,40.48679945887,NaN
,H01,SYBR,tba-1,NRT,FAU5,NaN,NaN
,H02,SYBR,oac-7,NRT,FAU5,NaN,NaN
,H03,SYBR,nhr-58,NRT,FAU5,NaN,NaN
,H04,SYBR,ugt-31,NRT,FAU5,NaN,NaN
,H05,SYBR,t22f3.3,NRT,FAU5,NaN,NaN
,H07,SYBR,tba-1,NRT,FAU5 treated,NaN,NaN
,H08,SYBR,oac-7,NRT,FAU5 treated,NaN,NaN
,H09,SYBR,ceh-74,NRT,FAU5 treated,NaN,NaN
,H11,SYBR,ugt-31,NRT,FAU5 treated,NaN,NaN
,H12,SYBR,t22f3.3,NRT,FAU5 treated,NaN,NaN
