"gene_symbol","lfc_treat_N2","padj_treat_N2","lfc_treat_RB","padj_treat_RB","lfc_geno_unt","padj_geno_unt","lfc_geno_trt","padj_geno_trt","lfc_gxe","padj_gxe","effect_class"
"W04C9.3",-0.0963698289939896,0.529596569458017,-0.249831381674157,0.482417457267482,0.0267013299495226,0.645645512728004,0.0389266364742632,0.664039246127497,7.96390491890236e-05,NA,"NS"
"W04C9.6",-0.177993728620394,0.44449963524058,-0.100263442485962,0.814346941963453,-0.0181325652403621,0.783555319497032,-0.00903828779098544,0.958390569695811,0.0101691323188454,0.771532350584958,"NS"
"W04C9.2",-0.538746843170733,0.154595968303044,0.0124543202640403,0.975026075686567,-0.266173137071334,0.44404684786471,0.0250083964385745,0.949319085738666,0.302581381536312,0.349172109090053,"NS"
"W04C9.1",-0.636734295501855,0.00964085102179362,-0.194265199336708,0.41879454269275,-0.687108843781854,0.0102500333901346,-0.198849479634274,0.424473429519498,0.254749433590533,0.397955895363438,"NS"
"Y65B4BL.3",0.187043774917634,0.714976502361252,-0.0542366056127076,0.887150257782837,-0.0545515905670508,0.920448277679308,-0.15527633262285,0.564627628576184,-0.112938290969176,0.692350749798452,"NS"
"Y65B4BL.4",0.273214029172952,0.651164916631514,-0.379145192932295,0.314439885116672,0.100354945021477,0.735375335781679,-0.111862376554724,0.654401936432908,-0.261904984852499,0.286221134782699,"NS"
"Y65B4BL.2",-0.18681310766101,0.647487132234156,-0.00408741084507697,0.992915550898796,-0.176780763143195,0.635982129861649,-0.0540967971597685,0.875870359759598,0.0950687844415204,0.756989296003434,"NS"
"Y65B4BL.7",-0.171850985783563,0.719168331735894,0.202515667888389,0.50606453469263,-0.287163737661422,0.417976634502703,-0.00747802274054119,0.986200756340341,0.242803980374292,0.42574282483616,"NS"
"Y65B4BL.6",-0.328883518268171,0.475089890861872,0.0944038086594235,0.789995031994912,0.110480218082029,0.794497936034014,0.366819153829979,0.160532054530025,0.223933395271096,0.448162631488047,"NS"
"Y65B4BL.1",0.239855786572099,0.686813850285542,0.0992000302193298,0.804281742235187,-0.592897866768051,0.171178899674527,-0.405156794500619,0.1293644366068,-0.0215098040840994,0.936720411295812,"NS"
"Y65B4BM.3",0.226643065681291,0.701622408256228,0.124311656158267,0.747847737079617,-0.727248571265608,0.128352414008413,-0.406047612935881,0.130198409466135,-0.010234628017197,0.978229358807017,"NS"
"Y65B4BR.8",-0.20892595236706,0.674149471413485,0.106709073222547,0.760671802040803,-0.138126559059517,0.718218706506529,0.0185807206627569,0.96146112724375,0.168459946518463,0.562428464694623,"NS"
"Y65B4BR.5",-0.0194057719547841,0.970506417368366,0.418665538409524,0.166877686262833,-0.0557530844208895,0.919892648836439,0.165477458868158,0.535627309666139,0.296841437470227,0.350093201612064,"NS"
"Y65B4BR.4",0.453777282509843,0.183697284327007,0.200233893716928,0.474561165817514,-0.0878746331149368,0.860426788335429,-0.150630602945375,0.57791157274783,-0.085116911528849,0.782579815365982,"NS"
"Y65B4BR.3",-0.25240332298407,0.503580819439606,-0.226955333520665,0.403751741928703,-0.671579780013849,0.0439358495060391,-0.547647935410289,0.0348032370378925,-0.0302133394075437,0.938848213049503,"NS"
"Y65B4BR.1",-2.5476792161906,5.72004515745532e-06,-1.67963089703472,0.00101817296960497,-1.0977324360121,0.062779054521919,-0.187396605941268,0.433281062378286,0.0983282025238137,0.638839056683279,"Treatment"
"Y65B4BR.9",0.221829132083487,0.710202199408456,0.470408287594822,0.267275104482069,-0.0141272760166397,0.965041968001696,0.0496617202395418,0.8199279161844,0.0543627332529572,0.687834454992915,"NS"
"F56A6.5",-0.00260410484260151,0.992324129958068,0.0103668314164973,NA,-0.00715482873711835,0.696843043684854,-0.022000443194059,0.692148928252412,-0.00171700262705303,NA,"NS"
"F56A6.8",NA,NA,0,NA,NA,NA,0,NA,NA,NA,"NS"
"F56A6.1",-0.571287388885657,0.329085520477485,-1.16092523778981,0.0332489211376815,0.0211495310579001,0.956899495235883,-0.0688714629835682,0.74432427709257,-0.0780670500115964,0.587237869543165,"Treatment"
"Y65B4A.6",-0.450612492565636,0.0584899157816421,-0.00458702272140757,0.990018570666408,-0.111202566356451,0.799077311529356,0.153408642731143,0.547228226013121,0.341992746788637,0.263463683418579,"NS"
"Y65B4A.3",0.036220604681004,0.928884603762464,0.122809106018049,0.618747264464719,0.0523302741137586,0.936157324767973,0.111115064456897,0.687221018656327,0.0812073284206083,0.789225555374176,"NS"
"Y65B4A.2",0.259892083773212,0.391726249810696,0.157518212367001,0.518958816964794,0.112717068504964,0.78461629746186,0.0692050700156363,0.824161403670801,-0.0311897129192587,0.928720410564237,"NS"
"Y65B4A.1",-0.0231763193785552,0.962475009350734,-0.119457376752333,0.694347310875248,0.277327045008906,0.414718982193894,0.1271537668885,0.654401936432908,-0.0820667701782676,0.811195223242694,"NS"
"Y65B4A.8",-0.861660433281151,0.0108494564838608,-0.310910692064134,0.285628661158893,-0.145783997840056,0.725836582410728,0.03894758066875,0.919222036304403,0.197215944943413,0.506326435006574,"NS"
"Y18H1A.14",0.11564266507663,0.857376971389984,-0.166400399640504,0.688828609610141,0.0321205341417916,0.818233364839645,-0.011185012083301,0.953297393787896,-0.0373520547999631,0.663431430885125,"NS"
