"Gene","log2FC","padj","contrast","pathway_id","pathway_name"
"W05G11.6",2.79243646452236,2.61716427018116e-30,"argk-2: Treated vs Untreated","cel00620","Pyruvate metabolism"
"W05G11.6",2.79243646452236,2.61716427018116e-30,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"W05G11.6",2.79243646452236,2.61716427018116e-30,"argk-2: Treated vs Untreated","cel04068","FoxO signaling pathway"
"T24C4.5",1.27397460398975,6.7203121456079e-06,"argk-2: Treated vs Untreated","cel03030","DNA replication"
"C46F11.2",2.9770958768073,5.09385430405266e-64,"argk-2: Treated vs Untreated","cel00480","Glutathione metabolism"
"C46F11.2",2.9770958768073,5.09385430405266e-64,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"ZK1058.6",4.84283752644841,3.13914608949428e-112,"argk-2: Treated vs Untreated","cel00380","Tryptophan metabolism"
"ZK1058.6",4.84283752644841,3.13914608949428e-112,"argk-2: Treated vs Untreated","cel00910","Nitrogen metabolism"
"ZK1058.6",4.84283752644841,3.13914608949428e-112,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"R74.6",1.124017813249,1.41040855277576e-11,"argk-2: Treated vs Untreated","cel03015","mRNA surveillance pathway"
"F10F2.2",-1.83294700970648,3.90030143798085e-40,"argk-2: Treated vs Untreated","cel00230","Purine metabolism"
"F10F2.2",-1.83294700970648,3.90030143798085e-40,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"F25B5.4",1.95146842467498,6.18741355500744e-17,"argk-2: Treated vs Untreated","cel04120","Ubiquitin mediated proteolysis"
"F25B5.4",1.95146842467498,6.18741355500744e-17,"argk-2: Treated vs Untreated","cel04137","Mitophagy - animal"
"F25B5.4",1.95146842467498,6.18741355500744e-17,"argk-2: Treated vs Untreated","cel04140","Autophagy - animal"
"C16A3.10",-1.43234145336381,3.18057282127327e-21,"argk-2: Treated vs Untreated","cel00330","Arginine and proline metabolism"
"C16A3.10",-1.43234145336381,3.18057282127327e-21,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel00260","Glycine, serine and threonine metabolism"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel00630","Glyoxylate and dicarboxylate metabolism"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel00670","One carbon pool by folate"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel01100","Metabolic pathways"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel01200","Carbon metabolism"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel01230","Biosynthesis of amino acids"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel01240","Biosynthesis of cofactors"
"C05D11.11",-1.05167285691678,2.34426568249143e-17,"argk-2: Treated vs Untreated","cel04981","Folate transport and metabolism"
"F23F12.6",1.05667959109617,4.91406955831315e-17,"argk-2: Treated vs Untreated","cel03050","Proteasome"
"F57B9.1",1.51888906495396,7.89839893694592e-16,"argk-2: Treated vs Untreated","cel00750","Vitamin B6 metabolism"
