,Well,Fluor,Target,Content,Sample,Cq,SQ
,G04,SYBR,ugt-31,NRT,N2,NaN,NaN
,G05,SYBR,t22f3.3,NRT,N2,NaN,NaN
,G07,SYBR,tba-1,NRT,N2 treated,NaN,NaN
,G08,SYBR,oac-7,NRT,N2 treated,NaN,NaN
,G09,SYBR,ceh-74,NRT,N2 treated,NaN,NaN
,G11,SYBR,ugt-31,NRT,N2 treated,NaN,NaN
,G12,SYBR,t22f3.3,NRT,N2 treated,NaN,NaN
,H01,SYBR,tba-1,NRT,FAU5,NaN,NaN
,H02,SYBR,oac-7,NRT,FAU5,NaN,NaN
,H03,SYBR,nhr-58,NRT,FAU5,NaN,NaN
,H04,SYBR,ugt-31,NRT,FAU5,NaN,NaN
,H05,SYBR,t22f3.3,NRT,FAU5,NaN,NaN
,H07,SYBR,tba-1,NRT,FAU5 treated,NaN,NaN
,H08,SYBR,oac-7,NRT,FAU5 treated,NaN,NaN
,H09,SYBR,ceh-74,NRT,FAU5 treated,NaN,NaN
,H11,SYBR,ugt-31,NRT,FAU5 treated,NaN,NaN
,H12,SYBR,t22f3.3,NRT,FAU5 treated,NaN,NaN
