"ENTREZID","SYMBOL","GO","EVIDENCE","ONTOLOGY"
"171617","ztf-3","GO:0005654","IBA","CC"
"171617","ztf-3","GO:0006357","IBA","BP"
"171617","ztf-3","GO:0046872","IEA","MF"
"171618","C53D5.1","GO:0016020","IEA","CC"
"171619","C53D5.5","GO:0005886","IBA","CC"
"171619","C53D5.5","GO:0006751","IBA","BP"
"171619","C53D5.5","GO:0006751","IEA","BP"
"171619","C53D5.5","GO:0016020","IEA","CC"
"171619","C53D5.5","GO:0036374","IBA","MF"
"171619","C53D5.5","GO:0036374","IEA","MF"
"171621","xpo-2","GO:0005049","IBA","MF"
"171621","xpo-2","GO:0005635","IBA","CC"
"171621","xpo-2","GO:0005829","IBA","CC"
"171621","xpo-2","GO:0006606","IBA","BP"
"171621","xpo-2","GO:0006611","IBA","BP"
"171621","xpo-2","GO:0006886","IEA","BP"
"171621","xpo-2","GO:0031267","IEA","MF"
"171622","nol-14","GO:0005634","IEA","CC"
"171622","nol-14","GO:0005730","IBA","CC"
"171622","nol-14","GO:0005730","IEA","CC"
"171622","nol-14","GO:0030490","IBA","BP"
"171622","nol-14","GO:0030692","IBA","CC"
"171622","nol-14","GO:0032040","IBA","CC"
"171622","nol-14","GO:0032040","IEA","CC"
"171622","nol-14","GO:0042254","IEA","BP"
"171623","daf-25","GO:0005929","IEA","CC"
"171623","daf-25","GO:0006970","IMP","BP"
"171623","daf-25","GO:0007635","IMP","BP"
"171623","daf-25","GO:0009266","IMP","BP"
"171623","daf-25","GO:0010753","IMP","BP"
"171623","daf-25","GO:0030033","IMP","BP"
"171623","daf-25","GO:0043054","IMP","BP"
"171623","daf-25","GO:0046662","IMP","BP"
"171623","daf-25","GO:0046872","IEA","MF"
"171623","daf-25","GO:0050920","IMP","BP"
"171623","daf-25","GO:0061065","IGI","BP"
"171623","daf-25","GO:0061067","IMP","BP"
"171623","daf-25","GO:0097499","IMP","BP"
"171623","daf-25","GO:0097500","IMP","BP"
"171623","daf-25","GO:0097730","IDA","CC"
"171623","daf-25","GO:1904107","IMP","BP"
"171624","mbtr-1","GO:0003682","IBA","MF"
"171624","mbtr-1","GO:0005634","IBA","CC"
"171624","mbtr-1","GO:0005634","IEA","CC"
"171624","mbtr-1","GO:0006355","IEA","BP"
"171624","mbtr-1","GO:0042393","IBA","MF"
"171624","mbtr-1","GO:0045892","IBA","BP"
"171625","Y48G1A.2",NA,NA,NA
"171626","R119.1",NA,NA,NA
"171627","rnp-8","GO:0000381","IBA","BP"
"171627","rnp-8","GO:0003676","IEA","MF"
"171627","rnp-8","GO:0003723","IEA","MF"
"171627","rnp-8","GO:0003727","IBA","MF"
"171627","rnp-8","GO:0003727","IDA","MF"
"171627","rnp-8","GO:0005634","IBA","CC"
"171627","rnp-8","GO:0005634","IEA","CC"
"171627","rnp-8","GO:0019899","IPI","MF"
"171627","rnp-8","GO:0032991","IDA","CC"
"171627","rnp-8","GO:0034046","IDA","MF"
"171627","rnp-8","GO:1990749","IDA","MF"
"171628","R119.3","GO:0005739","HDA","CC"
"171630","taf-4","GO:0003677","IBA","MF"
"171630","taf-4","GO:0005515","IPI","MF"
"171630","taf-4","GO:0005634","IDA","CC"
"171630","taf-4","GO:0005634","IEA","CC"
"171630","taf-4","GO:0005669","IBA","CC"
"171630","taf-4","GO:0005669","IEA","CC"
"171630","taf-4","GO:0005737","IDA","CC"
"171630","taf-4","GO:0005737","IEA","CC"
"171630","taf-4","GO:0006351","IEA","BP"
"171630","taf-4","GO:0006352","IEA","BP"
"171630","taf-4","GO:0006366","IEA","BP"
"171630","taf-4","GO:0006367","IBA","BP"
"171630","taf-4","GO:0006367","IMP","BP"
"171630","taf-4","GO:0008340","IGI","BP"
"171630","taf-4","GO:0009792","IMP","BP"
"171630","taf-4","GO:0009794","IMP","BP"
"171630","taf-4","GO:0016251","IBA","MF"
"171631","R119.5","GO:0004719","IBA","MF"
"171631","R119.5","GO:0004719","IEA","MF"
"171631","R119.5","GO:0005737","IBA","CC"
"171631","R119.5","GO:0036211","IEA","BP"
"171633","otub-2","GO:0004843","IBA","MF"
"171633","otub-2","GO:0005634","IBA","CC"
"171633","otub-2","GO:0005737","IBA","CC"
"171633","otub-2","GO:0016787","IEA","MF"
"171633","otub-2","GO:0046872","IEA","MF"
"171633","otub-2","GO:0070530","IBA","MF"
"171633","otub-2","GO:0071947","IBA","BP"
"171634","C07F11.2",NA,NA,NA
"171635","tol-1","GO:0006952","IMP","BP"
"171635","tol-1","GO:0007165","IEA","BP"
"171635","tol-1","GO:0007166","TAS","BP"
"171635","tol-1","GO:0009792","IMP","BP"
"171635","tol-1","GO:0016020","IEA","CC"
"171635","tol-1","GO:0038023","ISS","MF"
"171635","tol-1","GO:0048468","IEA","BP"
"171635","tol-1","GO:0050829","IMP","BP"
"171636","W04C9.4","GO:0005730","HDA","CC"
"171637","cutl-13","GO:0016020","IEA","CC"
"171638","W04C9.2","GO:0005739","IEA","CC"
"171638","W04C9.2","GO:0005743","IEA","CC"
"171638","W04C9.2","GO:0042407","IBA","BP"
"171638","W04C9.2","GO:0044284","IBA","CC"
"171638","W04C9.2","GO:0061617","IBA","CC"
"171638","W04C9.2","GO:0061617","IEA","CC"
"171639","haf-4","GO:0002250","IEA","BP"
"171639","haf-4","GO:0005524","IEA","MF"
"171639","haf-4","GO:0005765","IDA","CC"
"171639","haf-4","GO:0006629","IMP","BP"
"171639","haf-4","GO:0007041","IMP","BP"
"171639","haf-4","GO:0015833","IEA","BP"
"171639","haf-4","GO:0016020","IBA","CC"
"171639","haf-4","GO:0016020","IDA","CC"
"171639","haf-4","GO:0016020","IEA","CC"
"171639","haf-4","GO:0016887","IEA","MF"
"171639","haf-4","GO:0035264","IMP","BP"
"171639","haf-4","GO:0042221","IEA","BP"
"171639","haf-4","GO:0042626","IBA","MF"
"171639","haf-4","GO:0055085","IBA","BP"
"171639","haf-4","GO:0055085","IEA","BP"
"171639","haf-4","GO:0140359","IEA","MF"
"171639","haf-4","GO:1904680","IEA","MF"
"171640","Y65B4BL.3","GO:0016020","IEA","CC"
"171641","Y65B4BL.4","GO:0016020","IEA","CC"
"171641","Y65B4BL.4","GO:0016757","IEA","MF"
"171642","deps-1","GO:0005737","IEA","CC"
"171642","deps-1","GO:0031047","IEA","BP"
"171642","deps-1","GO:0043186","IDA","CC"
"171642","deps-1","GO:0048471","IEA","CC"
"171643","acs-13","GO:0004467","IBA","MF"
"171643","acs-13","GO:0005524","IEA","MF"
"171643","acs-13","GO:0005783","IBA","CC"
"171643","acs-13","GO:0006631","IEA","BP"
"171643","acs-13","GO:0016020","IBA","CC"
"171643","acs-13","GO:0016874","IEA","MF"
"171644","Y65B4BL.1",NA,NA,NA
"171645","psf-3","GO:0000811","IBA","CC"
"171645","psf-3","GO:0000811","IEA","CC"
"171645","psf-3","GO:0005634","IEA","CC"
"171645","psf-3","GO:0006260","IEA","BP"
"171645","psf-3","GO:1902975","IBA","BP"
"171646","icd-2","GO:0005515","IPI","MF"
"171646","icd-2","GO:0005737","IBA","CC"
"171646","icd-2","GO:0005737","IEA","CC"
"171646","icd-2","GO:0005854","IEA","CC"
"171646","icd-2","GO:0006612","IBA","BP"
"171646","icd-2","GO:0015031","IEA","BP"
"171646","icd-2","GO:0051082","IBA","MF"
"171647","wwp-1","GO:0004842","IEA","MF"
"171647","wwp-1","GO:0005515","IPI","MF"
"171647","wwp-1","GO:0005737","IBA","CC"
"171647","wwp-1","GO:0005737","IDA","CC"
"171647","wwp-1","GO:0006511","IEA","BP"
