,Temperature,A2,A3,A4,A5,A6,A7,A8,A9,B2,B3,B4,B5,B6,B7,B8,B9,C2,C3,C4,C5,C6,C7,C8,C9,D2,D3,D4,D5,D6,D7,D8,D9,E2,E3,E4,E5,E6,E7,E8,E9,F2,F3,F4,F5,F6,F7,F8,F9
,65,15.4349479831365,7.28708782763908,7.67757730918117,39.2190294629576,9.29305830238491,9.04738250086223,11.5331727418576,82.2078689862049,83.1905867728168,28.2623574940426,25.1890058661968,28.6291806842135,27.4758763920156,25.6738605426438,29.0090063954851,77.6214044956379,35.5707918727542,13.0233620705571,22.5555254991332,24.1652240677588,28.625292224516,29.0873818534126,33.696726535655,47.4616556622461,9.27946108422168,7.32193827409913,8.72479413560484,12.8875272806167,17.5445251898637,17.7883953380107,19.3074835728663,7.8400911326172,10.2847416757681,24.1622221731382,23.0791915752454,28.8871407589977,27.3690636281617,29.1214841193107,30.5001786594327,63.0175504432307,0.853902458014545,25.0508051567831,33.2351564107543,31.4355347897467,34.6162060278249,31.4310515645376,38.0078739248887,-1.38747084319152
,65.5,27.199976957599,9.38301430973092,8.88094918811294,39.8776350026111,10.6267891537246,9.21410410644921,12.5887215888174,147.190132646553,125.257573429478,31.1858293537416,30.3414540429897,31.7393615112212,28.0502576994847,27.3746035448992,32.396523791143,80.9968774351754,36.8280381033958,17.5330962372907,25.5384407689828,26.5436753573811,29.6267235121861,30.8809615734033,35.7497179794805,45.3467754362168,9.99929968231146,8.12295773083815,9.8379293559708,13.9080376353346,18.2834956428629,19.1727429009128,20.2789333009108,8.12638188059861,20.2105789993038,25.2565932054291,24.7904714496592,30.7398295089649,29.2670291563653,30.2792765784804,30.9934816930116,69.813767356457,1.3892220361829,25.8850439089465,34.7208913033795,33.2993760217319,37.1099284937796,34.4531128605953,41.1601171998836,-1.34260587479707
,66,47.4623686908517,10.9723947124759,10.089696057728,39.5843578364082,10.44226583307,8.60112243401909,13.0975619455099,224.934379835734,179.610754951853,35.4398252820401,36.6351045849704,35.6994208216149,29.9599872366236,29.0051439903446,36.0462854198383,83.8850858973678,49.05001278138,23.186050363792,29.147080907373,29.3569681226606,31.0783072794172,33.1868322669241,38.5808756384365,55.201100147641,11.1104573323296,9.53601198889521,11.7490484891063,14.3779014611864,18.6584012534771,19.8860243550456,21.3451656215672,8.23199155076981,42.790252296723,27.0773651199439,27.2568201862985,32.5134761354709,30.4349628745558,31.8920094354553,32.4556015000823,81.3306227412909,1.45563392038798,27.8646659444181,36.2851759144464,35.0326234217702,40.3171046801205,38.2806517480948,44.219920707231,-1.51622786617816
,66.5,79.4125033571848,11.8397754387166,11.3188908878927,38.7293510869581,10.3298985238592,8.18731427143359,12.4667486611511,308.799446273654,243.701543544245,41.2219576148864,44.0249975383615,39.6545149385474,31.4738162337226,31.2762274254608,39.622083727678,87.5118506924923,76.5868078100698,30.2303844265198,33.7240923180864,32.7382839463678,32.8964470863234,35.5305689518605,41.5078091704027,81.5466684124269,12.8341410698433,11.9040699614252,14.4898264122519,15.440051918403,19.713248124894,20.5317780967459,21.986593622856,8.35662328753057,79.1156344127118,29.3781692032146,31.1531504710688,35.1571104585464,31.1840235831887,33.649433363396,34.3087871649921,100.295657348305,1.24758367220494,30.3328696514975,37.8698017168389,36.9431862272523,43.9570181550978,43.6040178819057,48.4907707005041,-1.28519590798078
,67,125.238563612038,12.8509262921897,12.8329073746306,37.3448127744991,10.3522789547068,7.94440802445104,12.300898490028,390.204369898459,315.519512900634,47.207293958478,51.8906554177543,44.8309120804092,32.7615942960244,34.0584467578642,44.1768909908433,91.5534608811246,123.328804050335,38.2074148919658,39.3857900728808,36.598316066895,35.5057123164809,37.5125625748558,43.5561935465762,128.394784776768,14.6611647637885,15.0690598616976,17.1392359124475,17.08263639039,21.5369747811959,21.5511103453304,23.0367715061894,9.50294666869144,129.248696993236,32.0414973162187,35.797525891638,38.0382795665345,32.9293334120667,35.5047614149511,36.5906630926428,131.009648268632,1.26763603428981,33.0755170098761,40.2665284341457,39.3354761398434,49.466463546746,51.7260053521213,55.7638708661912,-0.779517606911782
,67.5,185.094547258617,14.0965126592027,14.4760847569124,35.8998529363981,10.1344956889957,7.88590824223877,13.0955823097617,460.058007944494,390.663718585301,53.4309108688392,60.1313569986664,50.2624454120514,35.410748505918,36.6325909545085,48.6085288963479,95.5191474140146,191.784503191233,47.3260594968008,45.454454257002,40.678528180315,38.3401292942442,39.9063782129829,46.3417281791003,199.65915279784,16.3262710861732,18.5378624701282,20.4147162224848,18.5337721622457,23.3233993977142,22.7070055094007,25.0648800805099,11.6321587301029,193.181095983951,35.6760734005913,41.3203397649215,41.310483527109,35.5182872735875,38.1054947111918,40.125691297489,176.551534174771,1.27026853854949,37.3938685377356,43.8858249017761,42.4761164699809,58.1216521921968,63.7532297707772,65.5857988899359,-0.926757513852976
,68,256.904304783019,16.4925658775309,17.1728523445624,36.0799281575147,11.8949753671078,10.5543797600261,14.9890439155041,507.478866150609,463.494778440601,60.1782799850259,68.2611042417564,55.5980812068783,38.3318187560642,39.5094965490614,51.9328316416381,99.8920936010995,281.450429675968,56.4218868084879,50.6747187448548,44.8459328190224,41.5890135543591,42.7367530275724,49.3873470056662,294.005064442322,18.7371299713434,22.4020974812959,24.4958825647144,20.3479160876036,25.8559874624734,24.7918521649669,27.594327844085,15.108863088697,269.794715836312,40.4193296589086,47.9599449746022,45.6534676969953,37.803088839418,41.1211690620545,43.8251149363917,238.017997541415,1.44578683468052,42.0860737525115,47.9605632481499,45.6307274315965,67.5314931899906,77.7079667834186,77.7863749278937,-0.74041922435805
,68.5,335.453924265257,20.9963979939378,21.6930852413799,38.122782057501,16.832537763057,16.0187257879335,19.8289692113386,526.445068970769,530.24186101404,66.825098347897,75.5028714439791,61.6951826297568,41.283588684804,43.1977877482082,55.8931973350659,105.169793333906,389.177342118337,65.6024664829042,57.0163223824834,50.3813960165787,46.941073143885,47.0311190221839,53.1791371061818,408.939164230089,23.9416582679181,26.7849621192238,27.9093907169457,23.1024596849603,29.425376469209,28.2522687293252,30.5481097491918,22.0561501850548,354.997856069704,46.7761135224704,55.2113337593574,51.2085635242734,41.657095291788,44.6656212390583,47.8893279412065,316.75983560386,3.07414022509528,46.707733031593,52.8561543457424,49.7818482990768,78.6397808133054,91.7613375698006,95.4408443108302,-0.274486784807834
,69,411.128732674815,27.0918181657446,27.3865576580105,41.4257345514723,23.1560418279038,22.718527391796,27.2546659387871,524.256736049575,586.417769553805,72.6991085503244,81.5079812598938,68.2425582094245,46.2399316904816,46.9246066691146,60.3590441908257,111.068945189528,507.841675256595,74.2621203631638,64.2803912931684,57.2260465464174,53.5569945337597,52.9325451279567,58.9386820857746,538.465581598706,34.3886785650772,30.9946285564081,31.4615041862058,25.8869899761297,32.4752444089671,32.1213533282175,34.4283608736621,32.8050681588619,443.571016466819,54.4137300729498,62.873854426768,57.0415820703224,47.632856207946,49.2627635773749,53.3825101286575,411.117545880767,6.29009331076486,52.3327982222933,58.7801141963425,55.0781326875039,93.9466898904419,104.501530175174,115.689451108727,-0.369489491094441
,69.5,472.849075534025,34.2392941248469,34.5223302603783,47.101410159285,31.2033939633342,31.0878319879141,35.5157306092974,517.216037353782,624.440546025783,77.9822352223591,86.4123657368509,73.6962460949335,52.0036079489511,51.5096973697166,63.799950376467,117.21220605177,627.934226392339,80.6580882508797,69.8611698186082,64.7049215125037,60.2516158915091,60.318321175351,66.3961857171951,671.393404211089,50.0235067597703,34.6088907480387,36.0267088805722,28.8268036789925,35.8760049338947,36.2894815857386,38.7229663697528,44.5631643713801,529.481461132521,63.149735304391,71.834985371902,64.4501832282547,54.4902889044538,55.1338009505896,60.31341963233,513.67264752984,11.3856868893496,57.9392445322892,64.4822051446163,60.4269438610368,109.766535507822,114.830436908834,132.123357241519,-0.636547064422018
,70,510.901221500296,42.2285530537242,42.7307311415889,54.0505196975283,40.7104398303046,41.309035502183,44.5766670103534,516.916706488052,639.295000489663,83.3524607754732,91.1870817089718,79.6697026631648,57.7933036238479,57.1769634641597,67.5756599436043,123.44676325971,738.487886441838,85.3685769193746,74.8964068187845,72.9386376214666,68.1774254264376,68.3169402171234,74.0358157275186,795.069795448159,67.1279508007247,37.7889233244985,39.9271759896607,32.1582027303286,39.6644619292972,40.627828628158,42.9704332469635,54.171151013324,605.008818916961,74.7571591136716,82.5349171368855,74.8172752390918,62.7561021697696,63.2037977877276,69.3322361644031,614.809364573381,18.230197059427,62.7691406014168,70.0649128740571,65.7313204802472,123.625484898134,122.091869042303,144.903766089845,-0.370550047677739
,70.5,519.059480513755,49.1793405485865,50.01545923642,59.9221716880894,49.1159715615253,50.5206244981996,53.3980024630023,528.558685336588,626.671359799801,89.1516202832591,95.665714414275,86.1158358709188,64.0023666172441,62.7809027940095,71.9687212187346,130.637357417822,827.821195471131,89.5849712085844,81.3892645272995,80.9827335060911,76.2309986220596,75.5315359652573,81.3234313981038,897.909099634878,81.6688162914542,40.3410288251326,43.2927057926144,35.1867006189755,42.7666576081101,44.2621912746622,46.8385004767996,59.825937687496,660.464219410757,90.9618808551656,97.3345251461543,89.2716446871781,75.6383939596454,75.4120379843085,83.1804817190217,704.869130941939,24.8119679119034,68.2640151626612,76.3983544979334,72.1379441550232,144.045921336913,128.434709037824,157.003044923056,-0.502318983089424
