,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,F10,SYBR,fbxa-128,Unkn,FAU5 treated,,26.5448577295116,26.5448577295116,0,NaN,NaN,NaN,0,68,
,F11,SYBR,fbxa-128,Unkn,FAU5 treated,,26.2954656963934,26.2954656963934,0,NaN,NaN,NaN,0,68,
,F12,SYBR,fbxa-128,Unkn,FAU5 treated,,26.6296182881915,26.6296182881915,0,NaN,NaN,NaN,0,68,
,G01,SYBR,tba-1,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G02,SYBR,oac-7,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G03,SYBR,ugt-29,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G04,SYBR,ugt-31,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G05,SYBR,fbxa-79,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G06,SYBR,fbxa-128,NRT,N2,,NaN,0,0,NaN,NaN,0,0,68,
,G07,SYBR,tba-1,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,G08,SYBR,oac-7,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,G09,SYBR,ugt-29,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,G10,SYBR,fbxa-128,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,G11,SYBR,ugt-31,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,G12,SYBR,fbxa-79,NRT,N2 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H01,SYBR,tba-1,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H02,SYBR,oac-7,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H03,SYBR,ugt-29,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H04,SYBR,ugt-31,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H05,SYBR,fbxa-79,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H06,SYBR,fbxa-128,NRT,FAU5,,NaN,0,0,NaN,NaN,0,0,68,
,H07,SYBR,tba-1,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H08,SYBR,oac-7,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H09,SYBR,ugt-29,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H10,SYBR,fbxa-128,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H11,SYBR,ugt-31,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
,H12,SYBR,fbxa-79,NRT,FAU5 treated,,NaN,0,0,NaN,NaN,0,0,68,
