node_id	node_class	display_label	effect_category	lfc_gxe	padj_gxe	lfc_treat_N2	padj_treat_N2	lfc_geno_unt	padj_geno_unt	lfc_geno_trt	padj_geno_trt	orphan_gxe	degree_GxE_targets
k06b9.5	effector	pax-2	GxE	0.338187159969141	0.013924169681069	-0.140386507144941	0.830153095811363	-5.21944057979535	0.0010915575128031	-0.0299009221886476	0.899986831913325	TRUE	0
c49a9.8	effector	ugt-24	GxE	-1.03179521577671	0.0129632538800519	1.99980051076825	1.3072347943459e-11	1.08028007906106	0.00147727984896663	2.12180007559072e-5	0.999961720570046	FALSE	0
c42d4.2	effector	cest-10	GxE	-1.59989537743211	0.00419080999991547	2.66686973535567	5.169147366624629e-11	1.70370781296811	1.8937248213373e-4	0.00620763005016583	0.987437197324292	FALSE	0
c50f7.5	effector	c50f7.5	GxE	0.914895379515843	0.0333035859719517	0.169841455796631	0.70783555905754	-1.74618968774983	1.08707888238994e-7	-0.314970548261268	0.214443395073548	TRUE	0
c33d9.13	effector	c33d9.13	GxE	-1.61919725096466	3.2119752968804e-4	2.61165979558579	8.801830036402631e-15	1.84009231202287	5.47626019250708e-7	0.0494413859017271	0.889751150394716	TRUE	0
c10c5.2	effector	fbxc-58	GxE	-2.45405542185632	2.82863476288009e-13	5.52085204948903	9.324335373897428e-89	2.22052000448617	3.65443581495361e-14	-0.0996035832955889	0.731671828818737	FALSE	0
c10c5.3	effector	c10c5.3	GxE	-1.98625501731504	9.44118726692655e-5	2.11248975920436	7.9995011418799e-8	2.13657926296394	5.97902764777659e-7	0.0217411823796994	0.954859454884578	TRUE	0
zk617.2	effector	lips-6	GxE	1.37857410641656	1.87993144581109e-5	-4.83323230944374	1.11775927594384e-81	0.613943357248878	0.0330546198018414	2.07636948987454	2.7090007712196e-15	TRUE	0
f28d1.3	effector	thn-1	GxE	3.00610255704598	0.00478600257505176	-4.1279030282855	1.1657575447407e-7	-2.44149477950755	0.00550057502869742	0.0619928485096125	0.786671058022255	FALSE	0
k08d8.4	effector	k08d8.4	GxE	-2.22678557977231	6.84702799355645e-14	3.60942095165771	5.74712351592895e-51	0.742267509639023	0.0105826457598873	-1.25937081726141	5.6764198571706e-7	TRUE	0
f49e11.10	effector	scl-2	GxE	1.44895897058835	6.3479953045099e-4	-2.68333264206263	1.4371407951043e-17	-1.356120927045	1.1906431411983e-4	0.0398957361504717	0.91664035510551	FALSE	0
y57g11c.32	effector	talp-3	GxE	-1.65699415991551	0.0134071906799125	0.0980321782817862	0.87660321785086	1.34326607257104	0.0104389684524246	-0.0728673937222563	0.799632229214981	TRUE	0
r11g11.2	effector	nhr-58	GxE	-1.33768984745049	0.007371412314931	1.34697358208804	1.0573258883604e-4	1.5822937570399	2.99708060306437e-5	0.0711546396024051	0.818200459108005	FALSE	0
