,Temperature,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,65,2707.7570534694,6033.83480912405,6297.71740245055,6354.77156894302,7414.02272733532,7487.08008355864,7779.51253228361,3370.00226058858,7744.82304269285,10328.0674727298,10561.5329616645,10679.5068059166,11062.7996066666,11093.4891391831,11115.3066769467,7965.27550851987,2316.97963017327,8189.04111127161,8100.02829346103,8034.34158702875,9761.17846781169,10098.3472896228,10207.5838292206,2403.88269912125,7779.94997400347,9476.66964326254,9941.9671539022,9950.60924146347,10270.6191870587,10490.5932296672,10573.5113324536,8102.25851599217,6055.20679077597,7693.33119241442,8295.72257065304,8262.90765116594,8792.58321066681,8884.07829993117,9077.68008467669,6357.64336711594,8351.15498466194,9047.93785001455,9070.29512693413,9346.54513851213,9518.23073272088,10097.3023584581,9754.64726613549,8830.93378197457
,65.5,2698.54900217797,5975.06467286892,6235.18327667271,6289.1935325949,7343.93491253824,7411.74325360919,7706.69475114512,3345.70031684842,7655.78773862649,10257.349385775,10488.4483818491,10602.0183266002,10988.658846026,11021.3385500926,11040.610327919,7869.51708371638,2314.30829594232,8114.59016821852,8022.32085634312,7957.78798534723,9685.25338422202,10017.3256434253,10123.6997728442,2395.6424246242,7687.68495182379,9403.92960574737,9861.53857214034,9867.66071839992,10192.1037978013,10408.5325560863,10486.8632651935,7996.76158064989,6001.42507410023,7628.09570916549,8221.76078291022,8192.83194647494,8723.13205567735,8814.8876981786,9007.07356277757,6282.91710683455,8296.70359173272,8999.35108299609,9022.9130162831,9298.17442320818,9471.84579549481,10044.6159400315,9704.74780241808,8765.44915574811
,66,2688.92477218583,5914.11459061083,6169.14863298877,6220.81291535298,7269.95420174314,7331.48775689096,7629.99885871213,3320.5101347092,7561.8459174188,10185.8271032459,10413.6287255989,10522.2936493325,10912.5951379619,10946.3608718362,10962.7764098335,7771.07628237523,2311.69139123692,8036.54935341916,7942.956758611,7878.55327813119,9608.31111625036,9935.22543125356,10038.170381049,2387.7217352233,7596.62751669013,9329.69927276457,9778.69062885404,9783.00546021899,10110.8377678162,10324.7658493815,10397.0954875827,7897.77648678228,5945.47477844434,7560.32566653244,8146.02590564538,8120.40991623235,8651.53014324708,8743.66095861944,8934.07279892556,6196.86874158238,8228.01234817623,8949.49131143945,8974.93415974313,9248.44078588109,9424.73834583614,9991.94738156804,9654.38032545038,8694.78305529652
,66.5,2678.90122534427,5850.56224220082,6099.32174349421,6149.73183448011,7192.98319609793,7247.39056432963,7549.54161319146,3294.57847149613,7462.51393765051,10112.797693901,10337.40131771,10440.4447075925,10835.0672935186,10868.7528239072,10883.1526356943,7668.71272731481,2309.30985788962,7954.26823666009,7861.59990403689,7796.21990479845,9529.85328936511,9851.51549758213,9950.50979114589,2380.41721522216,7505.11015801891,9253.49907651537,9693.42190731743,9696.38164379428,10028.0249893451,10238.9513095792,10307.1642209342,7803.53988568021,5887.25296867145,7491.09761551863,8068.73947712437,8046.05914250186,8578.34912031471,8670.66049563741,8858.96335086879,6095.44306626788,8141.92000066403,8899.28513322286,8926.60043702582,9198.24977538527,9377.55996044691,9939.54639405724,9603.83148815416,8616.64073220377
,67,2667.73007333845,5783.92756252542,6025.43497681089,6075.4475923713,7112.99153588052,7159.73951942015,7466.04204716099,3267.31696185387,7356.03466352523,10037.8482814195,10259.2979939787,10356.4164704193,10756.6145678755,10788.2307793847,10801.7502919781,7559.2839915524,2306.9364137668,7866.41539929014,7777.12087909004,7709.39296706151,9450.40323733736,9766.36542604586,9861.75079898503,2373.84133868203,7408.63678286659,9175.74085329296,9606.39260781643,9607.70882515022,9944.63112660344,10151.9056552299,10217.9442125007,7706.37104867493,5826.89056014905,7420.35841782198,7990.3405841243,7969.19970365363,8504.03450735519,8595.16807141891,8782.04608356081,5973.12627665252,8035.907556336,8849.41884561676,8879.10455187152,9147.94526645045,9330.81228326505,9888.51557192042,9554.09412013958,8528.6591539868
,67.5,2654.67089151427,5713.25519565587,5945.99771763697,5997.82199951105,7029.52592244047,7068.84815816204,7379.09799074899,3238.35436762387,7236.37575570388,9960.55501566056,10178.9954580206,10269.7263004777,10675.2138450062,10704.5246016465,10717.3297023701,7437.36663320363,2304.98230714402,7770.07410634567,7687.20381136064,7616.6753419579,9369.55346912634,9679.74888391944,9771.34825236187,2367.97414492665,7298.47572937397,9095.96245077395,9517.61916933447,9517.08904246649,9859.68764165461,10062.8607303987,10127.8092749738,7593.86396490568,5762.88630168154,7348.47466042245,7911.00799348247,7890.37540686768,8428.70095897659,8517.94370106312,8701.63307592314,5825.89235821872,7908.57251165366,8800.28422783659,8831.59511551786,9098.08678478722,9284.46797634835,9838.10650901847,9505.29075627554,8427.3137780613
,68,2640.07229242094,5637.62664928321,5860.4821708394,5916.22630232248,6942.45296516288,6974.25229297214,7288.47978321127,3208.11876161777,7090.98138780133,9880.5036387915,10095.9492011583,10180.8402698671,10592.4781974572,10618.6470458094,10631.2057613107,7292.79731370067,2303.29237293762,7662.0847714688,7587.44750962253,7513.84826544632,9287.44278548272,9591.36683771498,9679.30706551818,2362.57576957499,7161.40419071397,9013.35399578065,9425.85693681182,9422.89948012801,9773.16006730668,9971.40774281817,10036.7966518579,7450.15551603479,5695.21869097413,7275.10093379026,7829.78155194191,7808.734933689,8351.64115815935,8437.52595980098,8617.96891887817,5648.37923027042,7761.45521074774,8751.28493162671,8784.25566227363,9047.91086120478,9237.51320371687,9786.6476786862,9455.52511759484,8308.47114157354
,68.5,2624.55277160051,5555.06164888861,5767.67704817717,5829.63992558299,6851.0929077743,6875.82421067288,7192.30712444823,3177.11072967153,6902.94149730162,9797.53339478533,10010.5083012034,10089.6195716251,10507.9549589845,10530.3189202604,10543.8637930596,7111.41720250461,2301.69410860734,7537.68140796705,7473.85691852104,7396.81675895622,9203.87779216016,9501.01944766509,9585.7068753,2357.54046394713,6984.48384800943,8927.99553971095,9331.82076027436,9325.92703210507,9685.33818389151,9878.08204654381,9944.94992179933,7259.64912111151,5623.09814319078,7201.05288837968,7747.6668729016,7725.05144641771,8274.04365699514,8354.70797449698,8531.3051060705,5437.88703571604,7597.55557305191,8701.33038841532,8735.93615219929,8997.09457095374,9188.51612577529,9732.90126104437,9403.00677348821,8169.73020286646
,69,2608.83539197736,5463.03911736039,5665.35403262123,5735.24289561691,6752.63995665218,6771.09959892868,7087.93118142713,3145.20726977114,6655.9276400221,9710.97543235867,9921.19900387364,9995.19893993443,10420.6558434409,10438.869278203,10453.8311528022,6878.07403990812,2300.45410839135,7391.94947813757,7340.64028772312,7260.24918892969,9117.95306512476,9407.98109776684,9489.94430434896,2352.79406887533,6756.22691933276,8839.40873143683,9234.53004489656,9225.21205325784,9594.80938576537,9781.6367098343,9850.04933086051,7009.34180616979,5543.7919689437,7124.97906169215,7664.23592679155,7638.93164356582,8194.30205593098,8267.7834820174,8441.19217038176,5195.21288677345,7421.20143861175,8648.95823115093,8685.19696683761,8943.30953314685,9135.28561333559,9674.96295652039,9346.51265112918,8010.30640744557
,69.5,2594.22052088594,5358.2612549545,5550.28213388684,5630.51995636322,6644.1448837946,6657.00457784453,6970.92301136187,3112.93113915353,6339.06671355761,9621.489721809,9829.53999758138,9898.67250095008,10331.0665456276,10346.3066024985,10362.1387441307,6581.49885253226,2299.61869475098,7223.34406791376,7185.5806253218,7102.86554575392,9029.49935797701,9312.26452392146,9391.33102688509,2348.41286349514,6471.0513188774,8746.97312898465,9133.60154969398,9121.1906163437,9501.27527201442,9682.55869767616,9751.00413121486,6694.0286588658,5450.72287917765,7047.32443039215,7578.90880520785,7550.84990114903,8112.84018399718,8177.65858224389,8347.25469239068,4928.9966456378,7236.34659864847,8592.28753587875,8629.79061207816,8884.83897774765,9076.62856847442,9610.24929455836,9284.32857629217,7831.53227151518
