,Cycle,B3,B4,B5,B6,B7,B8,B9,B10,C3,C4,C5,C6,C7,C8,C9,C10,D3,D4,D5,D6,D7,D8,D9,D10,E3,E4,E5,E6,E7,E8,E9,E10,G3,G4,G5,G6,G7,G8,G9,G10,H3,H4,H5,H6,H7,H8,H9,H10
,13,6.13757728200244,0.156325953075793,3.89049868554639,0.386389124767447,3.09860942250771,0.594822953438779,3.21656082309755,3.95387546159373,-1.02675776158867,-4.45305192611022,-5.59421442413441,-5.35958286258983,-4.61115925539889,-3.21320952897349,-4.98853584573681,2.30199674494042,1.4787060745748,0.814203550120055,0.664264453117539,2.82908192726563,-5.79839263341228,-4.34160991586623,-3.71521553287994,3.13295884848367,4.32219751135153,-3.02315309204687,-4.14013827488407,-3.1765724170823,-5.14654983308537,-5.61626048006019,-7.19938103472032,4.97283799975185,2.46318304359647,0.0841488714854677,0.580848406124005,1.51076698955285,0.465983430908182,-5.71183966285162,-7.85366147417926,4.66715977497415,6.32740172069498,-6.41839413555454,-3.66001748196459,-3.24997243685402,-12.062188473004,-7.10874092594395,-5.64827928404156,2.50618208850892
,14,13.9934860342169,5.14684758121257,3.9222795410642,1.40061449827635,5.38818577762731,0.765803018455699,6.68304713604857,3.2726521121167,-1.41294569044021,-5.61406056783608,-9.48124171667996,-6.35070877674843,-2.30244094358159,-5.75392123618303,-6.24321318409829,4.06655814644228,-0.204165520661263,0.446593796867091,1.81257324126773,-0.00319798161308427,0.0477385870535727,-4.39748218368595,-3.398874133768,0.991396119090041,2.04303617815867,-2.83161652800891,-5.93498846481771,-4.3294412288169,-4.35515378378432,-5.66169892087737,-4.80193114405938,-1.21740880716879,6.12647784430146,-0.844819829668722,0.198694500507372,2.05811568926447,3.63858213920548,-5.68391554695972,-4.45458075078068,2.83128951954495,3.70986672039044,-2.42322879731501,-2.69378201275777,-4.1139149741316,-6.43875776691812,-8.18467560643512,-0.829172459986239,2.29378493709191
,15,10.3201779287247,-0.852544533566743,0.602912004339032,3.34649759342892,0.749905259974184,5.86588414711468,2.06359215619841,5.53655038237002,0.840880759531046,-7.56467405530293,-9.30675163298065,-9.10439651652996,-2.38801765195876,0.51287909229768,-1.26704513826189,0.61284185539489,3.89624211197906,2.32678682212372,0.818307106018437,4.23637388798943,2.5946727211749,-2.69142292635843,0.888488372627307,2.01619880207227,1.99948328178743,-1.74524400369273,-1.66874814261882,-0.368565640011639,6.25451498523762,3.17915485188814,3.70635990812025,-0.0731114337281724,-1.46284638637326,2.80042492994062,0.486728714180117,-1.03764946867796,-1.76015119125259,-7.75905488630724,-4.02811199777807,3.78126868717936,-0.722194332788604,3.67485086392207,3.99084294955537,4.38088483102138,-2.35301417579285,-4.56713048111806,4.96134525738307,-3.76936281413691
,16,8.1985783144255,-0.646209914048995,0.215272958362675,3.41470434211578,3.18325450782004,0.266795378860934,2.34814109834679,5.80156463798585,2.58364118831605,-7.6474969067549,-4.01851849513514,-5.96724407511329,7.58469853333645,1.39140116512954,3.65662037081665,2.52239061720411,-0.429044796280323,-0.248589752279258,1.20450283527771,0.141233708396157,-0.932300418180603,2.32808657284977,3.58476478477542,0.414269883704492,-1.92084298371628,-4.45881271545613,-6.94603824274873,-2.80917362504579,21.9657381849906,24.0478716969451,21.1026643971327,-3.14828197684847,1.50321909271133,0.491763800800527,-1.4080470711915,-0.779958723170694,-2.32096642705392,-6.84977878214067,1.59187713707706,-0.13162673119723,1.49906178822448,15.8464689904094,10.8324858886767,13.2049046613006,5.29473300683185,7.64744488533825,12.9484624907227,-1.30010570081777
,17,13.8066370523102,3.67359494394532,4.41477453220614,4.87531401982642,5.30162978498538,9.74369981619293,6.99614987686255,9.53683791807407,3.24825424398523,-1.68337666671414,-2.62096074502415,0.731165596578194,16.2551025001276,17.9773988946558,21.3708404061704,0.553214384754028,1.47652194847979,1.2380375192779,-1.19628628867304,-1.50853635419935,15.1139280653042,16.9561052938489,15.8107659120856,2.46433080728048,-0.873282863588429,-1.64984471570597,-3.28507791765742,-6.77575069876229,60.6278233723024,63.0573035975235,63.868682256692,-2.3853555481769,2.27401289702493,1.49581417350191,-1.64650751125237,-4.04635389899886,-2.21161464844681,-0.670904450156741,3.36020238504352,1.47604420662992,-1.05259031100695,35.0511485365287,31.1622638186491,39.985485890154,23.0256306846795,29.379790358742,39.8782641602797,-2.30177104270797
,18,12.7759359998618,2.11733324161878,0.108619336192533,0.854265375255181,2.83252574502194,1.92248715348796,3.82389887601812,8.97366737840093,0.482238475159647,7.43470715445892,10.0551972688245,9.25715797740941,46.3266144877098,50.1540817565037,50.6663585075958,0.477476212553029,-3.67694247125019,-2.04770917971018,-3.57076696984905,-1.73854225821924,33.0016449834161,33.8051367824537,33.4927566402062,2.42673428458647,-0.0233250861429042,-5.79624402809031,-7.29950712632353,-5.66781915049341,139.489148861756,141.990114965755,137.014132672971,-0.937810189082938,1.29667949356963,0.764412764659482,-3.23845395450917,-5.32759711503422,4.54962974144973,5.07573014246145,13.6207113587152,4.62252004348102,-3.78793388564009,77.3260122305287,75.6003059451218,84.3687699481661,73.1201667609498,76.3904363900497,83.8312418443365,-7.825060733192
,19,9.95788577363373,-0.582098807401053,0.101164304443955,-0.669361556685999,0.679064400669176,0.187101093648835,-2.92429084944933,2.74546833425893,3.69644086007338,24.3613531509232,27.1607901824627,22.8830933198551,99.5598276469095,101.747233367156,107.133943353354,2.54451963468091,4.55149853188686,-4.55851990733618,-5.55178720785079,-6.71426661589339,70.4226645076383,78.195029597126,81.3169060189211,3.08407003257435,2.75965320265277,-0.858431261496207,-7.25426608507632,-4.92766853898547,273.746070878265,289.200130775096,287.837071697543,-2.65959324350752,5.18244548025541,-7.17107568092752,-1.5436852618609,-3.12504634200059,21.2492388244723,20.0234055129026,20.3701621297764,2.14177432804263,-4.77514828731455,161.442408170418,160.105192418375,172.538277637851,154.395909808431,173.53725453071,185.492324715316,-2.13627965001797
,20,12.0163027545095,0.688066466284909,-3.74448923305135,6.20845639391337,2.2452044497586,1.79202726291851,0.751957923989721,2.40596289573432,-0.71303922963898,57.0762507336335,60.844171514103,68.9665660593646,214.537818042743,211.259677516004,215.959191746161,4.27029961410244,4.5652639974478,1.50308954449383,-2.3385377289851,-2.40828157168198,152.35354362915,158.799897780621,162.767660852285,1.75667840500591,-4.07915825290365,-3.95284728312208,-0.279094111466293,-1.33405168900845,534.842926502251,559.096298241639,548.883834095898,2.53440713521968,2.18090464203897,0.720466772704185,-2.70220378369595,-3.60406993761399,47.6098587134761,55.2692275088689,54.8967729699089,-0.378506724041472,-3.25133852328599,315.848235333803,315.044880540072,339.028925218279,311.284174865511,343.563584873091,361.33345062732,-6.43660532918329
,21,10.01253450178,-4.02229771193925,-5.82775558170306,-3.05773669951714,4.58759926049242,-1.04816478736984,-0.31863260156797,6.65404612091334,2.22540463900305,127.663408830287,126.864767288724,137.461586893495,405.390921595591,409.567871586214,427.056450482281,-2.28647156928355,7.6668241537518,-5.59531647471567,-4.753124667463,-6.52972934207492,289.457448074003,301.701665024031,311.970113536451,0.114537700803794,-1.19119422230006,3.08806083624904,6.68182667745486,3.62511174447536,951.726333343743,997.543792622558,981.22834784794,-1.42124197720113,1.58518090118287,-0.299585236517032,1.71421768923346,5.39513526383871,98.264513945921,109.534786572156,119.382961245901,4.10863057912638,-1.97764453404625,590.324414350087,584.993547604767,628.731726154529,588.09790798035,648.199242791931,664.723688435122,-5.71713296005464
,22,9.48102723351849,-4.82958161165789,-4.61259575330178,-2.43847950765712,1.90742590912623,-2.33608186617039,0.793792800851861,-1.8631139049071,0.287396323449684,258.968756994027,267.498362951466,275.155052691787,739.687111335792,748.100276292736,770.330354534723,5.76186685979064,2.30304243542014,-1.84799407063019,-0.424303497251458,-0.462785511817856,527.017792919627,550.200025792029,566.572566057881,1.44203229713185,-0.670340141784436,19.8297824690762,24.3162731455291,22.334967434831,1579.29210546483,1651.07646096744,1630.98566845863,-3.41874737924854,0.199946261278001,7.94750482744075,10.0722504982191,9.21396776893835,200.986352461998,212.76769351393,222.331293961879,0.589937406474746,-2.83398805782235,1003.87889010669,1006.41649596348,1075.22018196137,1024.43152703199,1120.04330557715,1134.11668107993,-3.26124312854063
