"gene_symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CELE_Y18H1A.11",315.516659929603,0.786020763357959,0.278384257026687,0.00208771461607833,0.011254342859092
"CELE_Y18H1A.10",6.64143532030028,-0.203849616760492,0.700413001361275,0.190858030421283,0.401477927752672
"CELE_Y18H1A.1",1.31760446257443,-0.0237014024130245,0.684183616640656,0.665998289437455,NA
"CELE_Y18H1A.4",1119.03109412373,-0.260028633839248,0.281629674596456,0.32999376695754,0.563098592207524
"CELE_Y18H1A.2",889.731623821036,0.067326249020854,0.164362253382722,0.656712010299313,0.824975261158429
"CELE_Y18H1A.3",977.001915183856,-0.313014300194063,0.289693953926823,0.230418620086479,0.451437223446125
"CELE_Y18H1A.7",298.655299822548,0.0581146922372913,0.309662146352438,0.834901437181731,0.922534221618745
"CELE_Y18H1A.6",298.80012533764,-0.168709524703019,0.365816139748287,0.583160215714507,0.77715546837074
"CELE_Y18H1A.15",14.5789125851411,-0.0211325653350216,0.600147080571572,0.922658873739457,0.966261109530637
"CELE_Y18H1A.18",20.3318618473037,-0.0307679102913064,0.549942018046285,0.916002410571735,0.963129228406509
"CELE_Y18H1A.13",714.762674607423,0.820522449432194,0.218232265240857,7.14695608419859e-05,0.000553821841606154
"CELE_Y18H1A.17",1.31569425240601,0.0101605019564083,0.683806623654654,0.0126613203006002,NA
"CELE_Y18H1A.12",114.73177764045,0.02234410072235,0.359513236593961,0.949349606798578,0.977791845165593
"CELE_Y18H1A.9",637.878971181706,-0.243896087980023,0.259096992532939,0.307416646160331,0.539887736498447
"CELE_Y18H1A.8",28.962335599756,-0.213847376677718,0.643086911735807,0.452463868904528,0.678146442069587
"CELE_T06A4.2",4.49188292939828,-0.125812584286226,0.699384817319583,0.17229157556776,0.376807747620401
"CELE_T06A4.3",981.66000246171,-0.185321479155638,0.177043406452045,0.277253836955201,0.507119499732659
"CELE_T06A4.1",580.106400502119,0.297400195874194,0.239349268453409,0.184269277682218,0.392565387707961
"CELE_T06A4.5",0.518327024466111,-0.007122264374048,0.683980955487411,0.927501973187856,NA
"CELE_T06A4.4",0.518327024466111,-0.007122264374048,0.683980955487411,0.927501973187856,NA
"CELE_ZC123.3",1170.96153455923,-0.208459256004794,0.330227768369694,0.46881185113983,0.691131920585516
"CELE_ZC123.9",1.55485213039211,0.0109659486251818,0.683857083162942,0.99397822465446,NA
"CELE_ZC123.6",1.5698459023922,0.0488092896156029,0.685258889725245,0.464900397604173,NA
"CELE_ZC123.1",2008.02165961948,-0.355632709821023,0.218558492714192,0.0833745799561708,0.225984148108734
"CELE_ZC123.4",977.780159553375,-0.637679058247401,0.194248835402944,0.000530467459985213,0.00335672851728348
"CELE_Y95B8A.17",1.6305558701372,-0.0168779379363021,0.680387683109319,0.67139445317015,NA
"CELE_Y95B8A.8",1483.19962764069,-0.53223302767078,0.193661507084389,0.00403563791901333,0.0199180339274052
"CELE_Y95B8A.10",1520.80369298535,-0.648324165258842,0.216672669435345,0.00155452626932314,0.00872003109840121
"CELE_Y95B8A.6",775.844300033509,-0.878098494867656,0.279710858978041,0.000624208576438503,0.00389012327758243
"CELE_Y95B8A.11",535.447659991589,-0.681010403658628,0.294516607731541,0.010268857412395,0.0433891425625665
"CELE_Y95B8A.5",523.431741634682,-0.29685890538843,0.202291570836962,0.122759960444967,0.298961165500045
"CELE_Y95B8A.18",5.22753050872571,-0.0126265006436729,0.671996810382818,0.875590785804653,0.945285617363851
"CELE_Y95B8A.4",9.26527888453172,-0.0418988574895843,0.640908372304536,0.823278954190874,0.915960998690972
"CELE_Y95B8A.12",406.880819210021,0.0469104404650279,0.255211965238638,0.883812181335051,0.948301956006397
"CELE_Y95B8A.16",45.1463271938943,0.284570365005598,0.487733095130394,0.417919332945553,0.648027776942865
"CELE_Y95B8A.1",2863.12519984544,0.0734389761977367,0.130358432717171,0.566338094441968,0.765306120182392
"CELE_Y95B8A.15",1.71461094222532,0.00644859135233259,0.683226044299222,0.974425950619467,NA
"CELE_Y95B8A.14",1.71461094222532,0.00644859135233259,0.683226044299222,0.974425950619467,NA
"CELE_Y95B8A.13",6.01142220579572,0.113707788568737,0.695255312908161,0.250450606431345,0.475250802535842
"CELE_Y95B8A.T1",5.27063782330845,0.109466368092481,0.694381803671211,0.267470695344123,0.496612590774217
"CELE_Y34D9B.1",923.867703453771,-0.594036919402551,0.22878726452784,0.00551884664453799,0.0258345605432036
"CELE_F54A5.2",924.464409233883,-0.48666674428936,0.239688663964302,0.0303579799924709,0.104665547692687
"CELE_F54A5.3",849.507862549605,-0.442105515753425,0.217453220141109,0.0287855506048799,0.100401282412275
"CELE_F54A5.1",593.706136680786,-1.68164956599941,0.235873265910631,1.13839791172841e-13,2.55663472830351e-12
"CELE_C54G6.3",126.397257156142,-0.419759981229156,0.392353809225644,0.203842315018844,0.417694139866085
"CELE_C54G6.2",46.5881162664985,-0.159277703637578,0.571118597935338,0.626972512615338,0.806219070428847
"CELE_C54G6.1",236.382742949295,-0.520527413604672,0.308735249599236,0.0557729039115862,0.166751712711614
"CELE_Y34D9A.11",129.550946029436,-3.82546907764666,0.864249100639009,4.11129081987848e-07,4.55586102336773e-06
"CELE_Y34D9A.1",2005.04614828609,0.185214688511762,0.19242484513241,0.314712846761801,0.546741643207
"CELE_Y34D9A.4",1046.27802708415,-0.0570992140964167,0.138040559750945,0.69270565336216,0.844006546094849
"CELE_Y34D9A.3",461.391391501461,-0.459577182118422,0.207817160015715,0.0195623795549014,0.0732373749026497
"CELE_Y34D9A.7",1782.87660771119,1.53386352606112,0.212491997430181,8.6657429267768e-14,1.97004766806528e-12
"CELE_Y34D9A.6",11288.9245213381,3.22174149573484,0.282288040685491,1.69970180389244e-31,1.10887588107461e-29
"CELE_Y34D9A.8",4028.08477022688,2.48181876808512,0.322387443717257,8.52408196425603e-16,2.26591378240654e-14
"CELE_Y34D9A.10",3100.95589660549,0.422704711753313,0.134681072925189,0.0020490668795669,0.0110685455232115
"CELE_Y34D9A.2",203.843387243034,0.304065292201475,0.306346712592866,0.266354778328496,0.495086409798393
"CELE_R06A10.2",720.314233773566,-0.290677002308784,0.329743439747995,0.312626788999979,0.544752106328564
"CELE_R06A10.1",58.1701078271398,-0.801045171635773,0.601630779506781,0.05648501734999,0.168334156737644
"CELE_R06A10.5",34.6216143272219,-0.0619065543979496,0.528637389676623,0.84895067686614,0.930841409692025
"CELE_R06A10.4",437.532018259453,0.0246488133461907,0.213984833592684,0.904596691294912,0.957700177033891
"CELE_ZK993.2",31.145155750788,-2.65816936209388,1.86229636359748,0.00283921970177547,0.0146818483490081
"CELE_ZK993.5",15.1445725909446,-0.422078145427161,0.834720668202431,0.0833780028320007,0.225984148108734
"CELE_ZK993.1",67.662810537359,-0.224365414648194,0.475272802136844,0.502271510545532,0.717631856038266
"CELE_Y48G8AL.10",456.118896865612,-0.00389470745406119,0.250981632467129,0.984994993436309,0.99260237345741
"CELE_Y48G8AL.14",1016.65392633921,-0.532786511946752,0.274490431354486,0.0328151808410394,0.11102988871855
"CELE_Y48G8AL.8",97081.2974653962,-0.0277328042513178,0.24389467684135,0.89863708730504,0.955006166143505
"CELE_Y48G8AL.7",271.048216533045,-0.297641988518923,0.339677770802,0.309502002406917,0.541686688780695
"CELE_Y48G8AL.11",533.050866869534,-0.776560957258084,0.245674251488959,0.000708316788986522,0.00435424468027282
"CELE_Y48G8AL.6",1324.53716738977,0.228614817668146,0.348693006858461,0.448067063908931,0.673807381427146
"CELE_Y48G8AL.20",228.201535820886,0.093914817752161,0.340239226861584,0.751734283863373,0.878968371287427
"CELE_Y48G8AL.5",3007.04356230395,-0.014889969960171,0.0990344594705768,0.87820921386922,0.946459804987853
"CELE_Y48G8AL.1",1034.28994422309,-0.0521044106316304,0.169621564664641,0.680419326730366,0.837648189394689
